title,company,location,link
[대기업 L사]빅데이타 분석 및 시각화 전문가 건,유앤파트너즈,서울,https://kr.indeed.com/rc/clk?jk=62b8a9c40e567486&fccid=80d436708a2cba68&vjs=3
[AI R&D] Language AI(NLP) Research 분야 수시 채용,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=f4190a8dbb8c05b1&fccid=a1e4e21b1f33cf40&vjs=3
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/rc/clk?jk=8c8700db243d1a3c&fccid=6ce9eba87609c3e9&vjs=3
"[청년 디지털 일자리] 어플리케이션, 소프트웨어 개발, 인공지능(AI), 빅데이터 분석 등",훈민푸드,대구 동구,https://kr.indeed.com/rc/clk?jk=bb9174c49ad61f6c&fccid=9e252ed266005690&vjs=3
Sr Systems Administrator II,Raytheon Intelligence & Space,대한민국,https://kr.indeed.com/rc/clk?jk=6fc43b86da15f72a&fccid=aa53b551f9df0210&vjs=3
MongoDB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=2695294aea6dc3b6&fccid=32b9af632cf3b9f9&vjs=3
(연3200만이상/분당/대기업)만도연구소 테스트엔지니어(연구원),휴먼앤,성남 분당구,https://kr.indeed.com/rc/clk?jk=52d2205ae9943e65&fccid=9e33daf2a0f7b19b&vjs=3
[전문연구요원] AI R&D - Langauge AI,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=bf1fca00c4f999e3&fccid=a1e4e21b1f33cf40&vjs=3
NAVER IDC 서버 운영/관리(춘천),NIT Service,춘천 동면,https://kr.indeed.com/rc/clk?jk=de567c4b6b588c4c&fccid=f85375bceacb7147&vjs=3
[기업부설연구소] SW 개발 정규직,다스코포레이션,경상북도 구미,https://kr.indeed.com/rc/clk?jk=bace0676f357d0d5&fccid=7cea38ac5e19cfa6&vjs=3
2020년 하반기 영업/기획/마케팅/개발 부문,아우토크립트,서울 영등포구,https://kr.indeed.com/rc/clk?jk=4e91309fc89e9534&fccid=70a92c8954e2b950&vjs=3
R&D 및 소프트웨어개발 경력직,비에이에너지,광주 북구,https://kr.indeed.com/rc/clk?jk=d151c093347cbdfc&fccid=879b7e7af7f61769&vjs=3
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/rc/clk?jk=fb617eeb80ea6fa9&fccid=6c9206aa5a609175&vjs=3
[청년 디지털 일자리] 백엔드 개발자,훈민푸드,대구 동구,https://kr.indeed.com/rc/clk?jk=665d4e7d4fa37841&fccid=9e252ed266005690&vjs=3
지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=c7d674c1d5466ed2&fccid=617504e506359426&vjs=3
카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d585814d097935eb&fccid=32b9af632cf3b9f9&vjs=3
병역특례 전문연구요원,로토보,인천 연수구,https://kr.indeed.com/rc/clk?jk=59659a9759e474ba&fccid=73ed8b7756e74511&vjs=3
Machine Learning Lithography Modeling Product Engineer,Synopsys,경기도 성남,https://kr.indeed.com/rc/clk?jk=89f33b55066796da&fccid=6ce9eba87609c3e9&vjs=3
효성첨단소재(주) 타이어보강재PU 빅데이터 분석 경력사원,2018.10.07 24시,대한민국,https://kr.indeed.com/rc/clk?jk=3b0e3b290f637baf&fccid=0a17e24918c52931&vjs=3
블록체인인터넷경제연구센터 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=3e80435be74cd28f&fccid=617504e506359426&vjs=3
Data Scientist,Toss,서울 강남구,https://kr.indeed.com/rc/clk?jk=7af6301dc691d3ab&fccid=18c4935c8ec646d5&vjs=3
데이터 분석 및 지표 구축,아프리카TV,경기도 성남,https://kr.indeed.com/rc/clk?jk=7fdcd7a7457b1e93&fccid=bc48816053af06b3&vjs=3
[해외취업] 【AI・RPAエンジニア】経験半年の方も歓迎 10ヵ国の技術者が在籍,株式会社リープ,대한민국,https://kr.indeed.com/rc/clk?jk=bad0f76842269b46&fccid=154d4cff4798c138&vjs=3
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/rc/clk?jk=2892c67308e87f01&fccid=d29ddc820620b02e&vjs=3
[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버,서울,https://kr.indeed.com/rc/clk?jk=a41d35173ffe4666&fccid=412ff571bced2587&vjs=3
AI/ 음성인식/ 차량보안/ 빅데이터/ IoT 등 R&D 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/rc/clk?jk=483b5c30ed9ccb06&fccid=d5a22a3e93377742&vjs=3
"Application Engineer, Adv",Keysight Technologies,서울,https://kr.indeed.com/rc/clk?jk=e63720d2f801439e&fccid=d072500b76ca23c2&vjs=3
Software Engineer - Embedded,GE Appliances,경기도 성남,https://kr.indeed.com/rc/clk?jk=f42c4371e63d7f32&fccid=6a7f2fa034a3fd36&vjs=3
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=e5d35a0dd711a87b&fccid=aea6a13a3459fdb2&vjs=3
"데이터 엔지니어, 데이터 분석가 경력 정규직",한국인사이트연구소,서울 서초구,https://kr.indeed.com/rc/clk?jk=2d82f5d5bda87799&fccid=e02766d7e9987860&vjs=3
인공지능개발자(Python),켐아이넷,서울 양천구,https://kr.indeed.com/rc/clk?jk=192400e399b7cab2&fccid=bd179cc7ca8cf228&vjs=3
[인공지능(AI)개발] (주)솔라라이트 AI개발 인재,솔라라이트,대구 동구,https://kr.indeed.com/rc/clk?jk=13d9b3b8ac58ab18&fccid=9995aed6cc763c03&vjs=3
